PNR,Passenger,Origin,Destination,Fare,Status,BookingDate,TravelDate,Email,Phone,status,processing_time
EG654Y,Brandon Davis,DEN,IAD,390.86,Completed,2025-08-02,2025-08-03,blairamanda@example.com,584-695-9310,sent,0.06904116913089109
MI131O,Holly Wood,IAH,JFK,220.02,Cancelled,2025-08-02,2025-08-03,lynchgeorge@example.net,527.264.8350,sent,0.09476431757574152
CG564S,Emily Rios,PHL,LAX,1468.93,Completed,2025-08-02,2025-08-03,,001-388-249-6965x3287,skipped,
ZV122N,Janice Carlson,MIA,PHL,803.75,Confirmed,2025-08-02,2025-08-03,frazierdanny@example.net,001-645-514-6270x48281,sent,0.09781591727772233
RY252Q,Linda Burns,ATL,TPA,1143.14,Pending,2025-08-02,2025-08-03,john39@example.org,671-882-2782,sent,0.04135934997373134
WJ383M,Marie Kim DDS,IAD,EWR,390.19,Checked-in,2025-08-02,2025-08-03,andrew83@example.net,501.603.1051,sent,0.09195077766874715
EX738S,Dana Kennedy,PDX,CLT,1568.76,Confirmed,2025-08-02,2025-08-03,agomez@example.com,001-801-406-5133x3872,sent,0.08747613009285313
CO473Z,Krista Williams,FLL,DFW,2436.82,Checked-in,2025-08-02,2025-08-03,housemelinda@example.org,(977)436-0260x64746,sent,0.05740563674282041
BS343X,Nicole Brown,MCO,PDX,1627.3,Pending,2025-08-02,2025-08-03,brianromero@example.org,291-336-1939,sent,0.06757562111528523
QK699I,Mike Allen,MDW,ORD,257.69,Cancelled,2025-08-02,2025-08-03,stephen10@example.com,+1-791-618-3842x513,sent,0.02565422198132833
WJ278T,Dr. Kendra Contreras,ORD,STL,697.06,Confirmed,2025-08-02,2025-08-03,mcmillandennis@example.org,682-944-9353,sent,0.06243829762586836
UN401I,Gavin Anderson,MIA,BWI,2110.16,Cancelled,2025-08-02,2025-08-03,barnold@example.net,4118280598,sent,0.05626802730772787
LZ204B,Christine Wright,SFO,MDW,777.4,Confirmed,2025-08-02,2025-08-03,vdickson@example.org,622.460.2563,sent,0.05768626094134546
PH160G,Julia Torres,ATL,DTW,1863.45,Cancelled,2025-08-02,2025-08-03,kellerraymond@example.com,645-486-8501,sent,0.03522991916665029
DT940N,Richard Graham,LAS,BWI,1767.18,Cancelled,2025-08-02,2025-08-03,jonathanfletcher@example.org,783.856.1595x14846,sent,0.08723941393470545
GN482V,Megan Orr,HNL,IAD,1973.6,Cancelled,2025-08-02,2025-08-02,torresjason@example.net,+1-757-377-3872x148,sent,0.0873920405797567
OE831Z,Joseph Hansen,DTW,AUS,1837.1,Cancelled,2025-08-02,2025-08-03,usalazar@example.net,(387)627-7434x87347,sent,0.09034434092381231
KR345C,David Benson,PHX,AUS,2299.19,Checked-in,2025-08-02,2025-08-03,drivera@example.com,2367690967,sent,0.04311986888089831
RX466X,Lindsey Walker,DEN,LAS,1900.72,Completed,2025-08-02,2025-08-03,priceelizabeth@example.com,001-427-929-8069x9016,sent,0.05848723497876786
MK204G,George Hobbs,DTW,IAH,2259.88,Checked-in,2025-08-02,2025-08-03,fking@example.com,5802531003,sent,0.08723974326008309
EP923V,Travis Marshall,DEN,FLL,1309.76,Confirmed,2025-08-02,2025-08-02,stricklandfrank@example.com,590-349-6631,sent,0.07936333005311758
ZS491Z,Joseph Stanley,DEN,BWI,525.96,Checked-in,2025-08-02,2025-08-03,,(657)726-2849x87769,skipped,
OH314Y,Leonard Gray,PHX,IAH,1550.34,Checked-in,2025-08-02,2025-08-03,tonykelly@example.com,949-948-0831x36783,sent,0.049084296444279
JH701M,Elizabeth Perkins,FLL,STL,2364.71,Confirmed,2025-08-02,2025-08-03,jbarajas@example.com,(574)544-3135x182,sent,0.05979718555350749
YQ749T,Brian Lee,FLL,SAN,777.04,Pending,2025-08-02,2025-08-03,ericksondavid@example.org,9849271094,sent,0.04182021803309561
BI752P,Austin Vasquez,IAH,ATL,1216.25,Pending,2025-08-02,2025-08-02,edwardhart@example.com,831-986-9993,sent,0.02007028132802202
NJ749S,Lisa Singh,IAD,ATL,1343.05,Confirmed,2025-08-02,2025-08-02,josephmiller@example.org,(681)220-6797,sent,0.08683411438498485
WO344C,Tammy French,MCO,PDX,1651.53,Completed,2025-08-02,2025-08-03,ronaldstephens@example.net,,sent,0.0308930985832992
WM174I,Katherine Miller,CLT,SAN,529.64,Completed,2025-08-02,2025-08-02,cassandra01@example.org,,sent,0.02865015719111754
NK175K,Shannon Rivera,PHL,EWR,1298.22,Confirmed,2025-08-02,2025-08-02,jcervantes@example.org,215.545.1680x876,sent,0.06867514864819556
YP859U,Anthony Adams,STL,HNL,2045.92,Cancelled,2025-08-02,2025-08-03,omartinez@example.net,324.980.8613,sent,0.089149660288012
WJ127Q,Jennifer Olson,STL,DTW,2375.33,Confirmed,2025-08-02,2025-08-03,patrickweeks@example.net,001-921-446-5840x4499,sent,0.03734845261449225
OA718X,Seth Booker,DEN,MDW,1266.91,Completed,2025-08-02,2025-08-03,matthew61@example.com,+1-386-357-8091x34316,sent,0.02721900168328646
AB724K,Elaine Brooks,MSP,STL,1575.5,Cancelled,2025-08-02,2025-08-02,georgemiller@example.com,+1-637-492-3747x407,sent,0.053649855653185294
SJ175U,Melissa Bryant,IAD,TPA,1771.19,Pending,2025-08-02,2025-08-03,yrodriguez@example.net,(694)540-6409x097,sent,0.02732624395689668
UG953T,Perry Saunders,BWI,LGA,1027.54,Completed,2025-08-02,2025-08-03,bergerdebbie@example.com,709.652.1456x232,sent,0.08760863466986621
DV965H,Manuel Hahn,SEA,PHL,667.51,Confirmed,2025-08-02,2025-08-03,reidsteven@example.net,861-920-0471x1382,sent,0.06825689774444994
