PNR,Passenger,Origin,Destination,Fare,Status,BookingDate,TravelDate,Email,Phone,status,processing_time
EG654Y,Brandon Davis,DEN,IAD,390.86,Completed,2025-08-02,2025-08-03,blairamanda@example.com,584-695-9310,sent,0.0637773144470927
MI131O,Holly Wood,IAH,JFK,220.02,Cancelled,2025-08-02,2025-08-03,lynchgeorge@example.net,527.264.8350,sent,0.034264261179978064
ZV122N,Janice Carlson,MIA,PHL,803.75,Confirmed,2025-08-02,2025-08-03,frazierdanny@example.net,001-645-514-6270x48281,sent,0.06180314850313795
RY252Q,Linda Burns,ATL,TPA,1143.14,Pending,2025-08-02,2025-08-03,john39@example.org,671-882-2782,sent,0.07961728669780045
WJ383M,Marie Kim DDS,IAD,EWR,390.19,Checked-in,2025-08-02,2025-08-03,andrew83@example.net,501.603.1051,sent,0.0852340474948131
EX738S,Dana Kennedy,PDX,CLT,1568.76,Confirmed,2025-08-02,2025-08-03,agomez@example.com,001-801-406-5133x3872,sent,0.04394469546840199
CO473Z,Krista Williams,FLL,DFW,2436.82,Checked-in,2025-08-02,2025-08-03,housemelinda@example.org,(977)436-0260x64746,sent,0.09509573427475533
BS343X,Nicole Brown,MCO,PDX,1627.3,Pending,2025-08-02,2025-08-03,brianromero@example.org,291-336-1939,sent,0.09498777913314456
QK699I,Mike Allen,MDW,ORD,257.69,Cancelled,2025-08-02,2025-08-03,stephen10@example.com,+1-791-618-3842x513,sent,0.02678098942988017
WJ278T,Dr. Kendra Contreras,ORD,STL,697.06,Confirmed,2025-08-02,2025-08-03,mcmillandennis@example.org,682-944-9353,sent,0.038829283462372396
UN401I,Gavin Anderson,MIA,BWI,2110.16,Cancelled,2025-08-02,2025-08-03,barnold@example.net,4118280598,sent,0.024954353126962356
LZ204B,Christine Wright,SFO,MDW,777.4,Confirmed,2025-08-02,2025-08-03,vdickson@example.org,622.460.2563,sent,0.09314653003392934
PH160G,Julia Torres,ATL,DTW,1863.45,Cancelled,2025-08-02,2025-08-03,kellerraymond@example.com,645-486-8501,sent,0.08790709288510898
DT940N,Richard Graham,LAS,BWI,1767.18,Cancelled,2025-08-02,2025-08-03,jonathanfletcher@example.org,783.856.1595x14846,sent,0.04170131743889249
GN482V,Megan Orr,HNL,IAD,1973.6,Cancelled,2025-08-02,2025-08-02,torresjason@example.net,+1-757-377-3872x148,sent,0.07881564318074778
OE831Z,Joseph Hansen,DTW,AUS,1837.1,Cancelled,2025-08-02,2025-08-03,usalazar@example.net,(387)627-7434x87347,sent,0.07299543118441972
KR345C,David Benson,PHX,AUS,2299.19,Checked-in,2025-08-02,2025-08-03,drivera@example.com,2367690967,sent,0.021417549186302908
RX466X,Lindsey Walker,DEN,LAS,1900.72,Completed,2025-08-02,2025-08-03,priceelizabeth@example.com,001-427-929-8069x9016,sent,0.04319910939814471
MK204G,George Hobbs,DTW,IAH,2259.88,Checked-in,2025-08-02,2025-08-03,fking@example.com,5802531003,sent,0.06819429629940198
EP923V,Travis Marshall,DEN,FLL,1309.76,Confirmed,2025-08-02,2025-08-02,stricklandfrank@example.com,590-349-6631,sent,0.06216824472174827
OH314Y,Leonard Gray,PHX,IAH,1550.34,Checked-in,2025-08-02,2025-08-03,tonykelly@example.com,949-948-0831x36783,sent,0.04119179616728444
JH701M,Elizabeth Perkins,FLL,STL,2364.71,Confirmed,2025-08-02,2025-08-03,jbarajas@example.com,(574)544-3135x182,sent,0.06172842036926776
YQ749T,Brian Lee,FLL,SAN,777.04,Pending,2025-08-02,2025-08-03,ericksondavid@example.org,9849271094,sent,0.08095754596748223
BI752P,Austin Vasquez,IAH,ATL,1216.25,Pending,2025-08-02,2025-08-02,edwardhart@example.com,831-986-9993,sent,0.05413496021234418
NJ749S,Lisa Singh,IAD,ATL,1343.05,Confirmed,2025-08-02,2025-08-02,josephmiller@example.org,(681)220-6797,sent,0.04881742050228127
WO344C,Tammy French,MCO,PDX,1651.53,Completed,2025-08-02,2025-08-03,ronaldstephens@example.net,,sent,0.051435894710329916
WM174I,Katherine Miller,CLT,SAN,529.64,Completed,2025-08-02,2025-08-02,cassandra01@example.org,,sent,0.05075581805916776
NK175K,Shannon Rivera,PHL,EWR,1298.22,Confirmed,2025-08-02,2025-08-02,jcervantes@example.org,215.545.1680x876,failed,
YP859U,Anthony Adams,STL,HNL,2045.92,Cancelled,2025-08-02,2025-08-03,omartinez@example.net,324.980.8613,sent,0.08240563936002607
WJ127Q,Jennifer Olson,STL,DTW,2375.33,Confirmed,2025-08-02,2025-08-03,patrickweeks@example.net,001-921-446-5840x4499,sent,0.05231409402000557
OA718X,Seth Booker,DEN,MDW,1266.91,Completed,2025-08-02,2025-08-03,matthew61@example.com,+1-386-357-8091x34316,sent,0.04488442073678915
AB724K,Elaine Brooks,MSP,STL,1575.5,Cancelled,2025-08-02,2025-08-02,georgemiller@example.com,+1-637-492-3747x407,sent,0.0770517371479227
SJ175U,Melissa Bryant,IAD,TPA,1771.19,Pending,2025-08-02,2025-08-03,yrodriguez@example.net,(694)540-6409x097,sent,0.06664128747068712
UG953T,Perry Saunders,BWI,LGA,1027.54,Completed,2025-08-02,2025-08-03,bergerdebbie@example.com,709.652.1456x232,sent,0.09993141600502889
DV965H,Manuel Hahn,SEA,PHL,667.51,Confirmed,2025-08-02,2025-08-03,reidsteven@example.net,861-920-0471x1382,sent,0.04814070705956987
SX586X,Jason Garcia,JFK,LAS,308.39,Confirmed,2025-08-02,2025-08-02,antonio53@example.com,935.315.8506x431,sent,0.0273603948355223
BZ390K,Cameron Cunningham,ORD,FLL,709.31,Checked-in,2025-08-02,2025-08-03,brendali@example.org,729-504-2284x21020,sent,0.03898816918292803
FI950B,Jason Wilson,DEN,IAD,2348.46,Completed,2025-08-02,2025-08-03,william17@example.net,890.884.7007,sent,0.04331204096149659
CC177K,Ana Hill,SEA,HNL,1261.49,Checked-in,2025-08-02,2025-08-03,oscar98@example.com,789.961.1836x736,sent,0.0664032565634483
KN661K,Jacqueline Hernandez,DFW,MDW,1162.97,Checked-in,2025-08-02,2025-08-03,daviscolin@example.net,(228)609-8851x656,sent,0.07553250874211108
DS945Q,Matthew Walker,PDX,TPA,277.3,Confirmed,2025-08-02,2025-08-03,danny49@example.org,(289)498-0940x24455,sent,0.027590230060826483
CE296X,Amanda Reese,TPA,EWR,2031.39,Confirmed,2025-08-02,2025-08-03,eric45@example.net,+1-910-822-9014x767,sent,0.05107205405391287
DL438N,Michael Watkins,SFO,DTW,1204.24,Checked-in,2025-08-02,2025-08-03,randallgreene@example.org,943.824.4510,sent,0.09592659229459244
RW226H,Sandra Drake,MIA,SEA,2205.04,Confirmed,2025-08-02,2025-08-03,grahamsteve@example.org,796-396-6416x05297,sent,0.09231541086771951
NS613M,Jennifer Collins,PDX,STL,1443.26,Confirmed,2025-08-02,2025-08-03,charlesschultz@example.net,435.952.3124x32921,sent,0.034298575788750604
OV799S,Victoria Morris,FLL,PDX,184.68,Confirmed,2025-08-02,2025-08-02,cjones@example.net,649-305-8147x7005,sent,0.08550658476728877
QM199O,Tiffany Stevenson,PDX,SEA,540.83,Checked-in,2025-08-02,2025-08-03,marcalvarez@example.org,9719518203,sent,0.08448302000388554
FL889L,Jasmine Schroeder,PDX,PHX,2270.74,Cancelled,2025-08-02,2025-08-03,cameron18@example.net,(344)692-5192x5462,sent,0.06279399771529055
EV865W,Nancy Jennings,PHX,LAS,2327.32,Checked-in,2025-08-02,2025-08-03,bromero@example.com,223-757-3322x1418,sent,0.09140753125916794
ME929F,Michael Weber,MDW,IAD,2489.24,Completed,2025-08-02,2025-08-03,jenkinserica@example.org,994.973.8347x359,sent,0.07861548101979601
QN468F,Rebecca Taylor,BOS,DEN,596.26,Cancelled,2025-08-02,2025-08-02,angela18@example.org,812-247-8261x3750,sent,0.029377622371242786
HM685C,Alfred Galvan,DTW,IAD,1424.16,Pending,2025-08-02,2025-08-03,devinmitchell@example.com,,sent,0.0732214730409848
DB434H,Riley Bryant,DTW,BOS,1331.7,Completed,2025-08-02,2025-08-03,chenbailey@example.net,(446)309-5396,sent,0.07500116931583603
QR851Q,Katie Smith,MSP,ORD,2150.65,Confirmed,2025-08-02,2025-08-03,qzavala@example.net,2517531952,sent,0.05464445197991828
YV852O,Mrs. Catherine Taylor,BWI,STL,702.73,Confirmed,2025-08-02,2025-08-02,carterbradley@example.org,5546868740,sent,0.020437577675440056
ID505Z,Steve Paul,DTW,SEA,1510.46,Confirmed,2025-08-02,2025-08-03,tylerjimenez@example.net,716-616-9284x511,sent,0.030188720965768
WN479F,Heather Williams,IAH,MDW,1521.63,Completed,2025-08-02,2025-08-03,yhill@example.org,265-482-0297,sent,0.08410172274813466
LM135S,Christian Cole,LAS,SFO,1723.86,Pending,2025-08-02,2025-08-03,berryalyssa@example.com,543-610-2786x81447,sent,0.09362113867205224
EC731O,Micheal Osborn,PHX,DEN,1728.47,Pending,2025-08-02,2025-08-03,elizabeth18@example.net,742-725-8313x2370,sent,0.02654902971319127
TC782C,Zachary Higgins,AUS,IAD,2348.98,Confirmed,2025-08-02,2025-08-03,martinezlogan@example.org,378.452.8922x680,sent,0.0564658474467646
KW422H,Todd Jacobson,DTW,DFW,322.16,Cancelled,2025-08-02,2025-08-03,david49@example.net,782-299-2299,sent,0.07252007789143225
UY010S,Daniel Armstrong,DEN,PHX,2220.03,Cancelled,2025-08-02,2025-08-03,dawn47@example.org,+1-464-771-0276x77359,sent,0.09871384119398613
MQ701O,Cindy Gomez,SAN,LGA,1393.01,Completed,2025-08-02,2025-08-03,amitchell@example.org,(624)356-5060x98358,sent,0.05952464192571434
YR687I,Lisa Carr,BWI,DFW,2356.49,Cancelled,2025-08-02,2025-08-03,laura58@example.com,001-923-498-6800x02578,sent,0.08441493624555216
KT982K,William Stevenson,STL,DFW,1894.68,Cancelled,2025-08-02,2025-08-03,terickson@example.com,9556169409,sent,0.07590390201014911
RK283V,James Frye,PDX,LAS,1337.71,Pending,2025-08-02,2025-08-02,erica49@example.com,934.784.3443,sent,0.09701704581975097
ZX758I,Kenneth Daniels,PDX,JFK,366.9,Checked-in,2025-08-02,2025-08-02,stephanie24@example.org,315-574-7338x4842,sent,0.03894529399159753
HU308H,Jason Love,JFK,LAX,933.86,Cancelled,2025-08-02,2025-08-03,oconnelltiffany@example.org,(877)434-5401x93802,sent,0.08178385287900859
SV054Y,Levi Fowler,FLL,LAX,412.9,Cancelled,2025-08-02,2025-08-03,christopher12@example.org,253.604.6374x5499,sent,0.08889406468762442
VD530O,Jared Shaw,HNL,CLT,1518.9,Cancelled,2025-08-02,2025-08-03,hannah45@example.net,932.572.7956,sent,0.07062377454739666
QO391Q,Angela Elliott,JFK,EWR,1006.93,Confirmed,2025-08-02,2025-08-02,ashleyhernandez@example.com,971.239.7187x07286,sent,0.05916014909928999
XA874M,Aaron Robinson,SFO,MDW,736.39,Confirmed,2025-08-02,2025-08-03,weaverbrian@example.org,404.762.2656x7661,sent,0.042572001504182874
TV907W,Dana Williams,AUS,SEA,2181.82,Cancelled,2025-08-02,2025-08-02,taylorvictoria@example.org,001-695-299-5342x8364,sent,0.06398294842046356
UV892N,Amber Cooper,LAX,SFO,1880.93,Pending,2025-08-02,2025-08-03,heather62@example.com,(428)873-3427x0866,sent,0.047368117844981864
KU343C,Sarah Davis,IAH,HNL,1724.28,Cancelled,2025-08-02,2025-08-03,nicholas99@example.org,239-583-7354,sent,0.09450181980672642
HW317T,Jennifer Allen,SAN,MDW,404.02,Confirmed,2025-08-02,2025-08-02,wferguson@example.com,258-577-1753x556,sent,0.024179250122177313
RS204S,Elizabeth Gonzalez,SEA,SFO,2068.98,Checked-in,2025-08-02,2025-08-03,victorpena@example.net,247-377-2522x87280,sent,0.08820471611225732
EU006H,Chris Robinson,HNL,SAN,2197.61,Cancelled,2025-08-02,2025-08-03,bhopkins@example.org,+1-286-800-8484,sent,0.08046332495252086
QE211H,Joseph Ochoa,SFO,IAH,921.42,Confirmed,2025-08-02,2025-08-02,susan79@example.org,001-234-410-1666x870,sent,0.022259676897443584
UZ176K,Shannon Davis,LAS,PHX,1657.48,Checked-in,2025-08-02,2025-08-03,rachelschwartz@example.net,440.814.8902x5039,sent,0.09355506875156046
SH142S,Jasmine Mosley,HNL,FLL,928.2,Confirmed,2025-08-02,2025-08-03,krystalnorris@example.org,650.916.3159x99650,sent,0.08663316322615715
