PNR,Passenger,Origin,Destination,Fare,Status,BookingDate,TravelDate,Email,Phone,status,processing_time
EG654Y,Brandon Davis,DEN,IAD,390.86,Completed,2025-08-02,2025-08-03,blairamanda@example.com,584-695-9310,sent,0.09194008222238882
MI131O,Holly Wood,IAH,JFK,220.02,Cancelled,2025-08-02,2025-08-03,lynchgeorge@example.net,527.264.8350,sent,0.04927100410305699
CG564S,Emily Rios,PHL,LAX,1468.93,Completed,2025-08-02,2025-08-03,,001-388-249-6965x3287,skipped,
ZV122N,Janice Carlson,MIA,PHL,803.75,Confirmed,2025-08-02,2025-08-03,frazierdanny@example.net,001-645-514-6270x48281,sent,0.0825794409153222
RY252Q,Linda Burns,ATL,TPA,1143.14,Pending,2025-08-02,2025-08-03,john39@example.org,671-882-2782,sent,0.09384366001672764
WJ383M,Marie Kim DDS,IAD,EWR,390.19,Checked-in,2025-08-02,2025-08-03,andrew83@example.net,501.603.1051,sent,0.04235687212187257
EX738S,Dana Kennedy,PDX,CLT,1568.76,Confirmed,2025-08-02,2025-08-03,agomez@example.com,001-801-406-5133x3872,sent,0.09190413673392978
CO473Z,Krista Williams,FLL,DFW,2436.82,Checked-in,2025-08-02,2025-08-03,housemelinda@example.org,(977)436-0260x64746,sent,0.08491973700290213
BS343X,Nicole Brown,MCO,PDX,1627.3,Pending,2025-08-02,2025-08-03,brianromero@example.org,291-336-1939,sent,0.09822185802358943
QK699I,Mike Allen,MDW,ORD,257.69,Cancelled,2025-08-02,2025-08-03,stephen10@example.com,+1-791-618-3842x513,sent,0.0316295135496147
WJ278T,Dr. Kendra Contreras,ORD,STL,697.06,Confirmed,2025-08-02,2025-08-03,mcmillandennis@example.org,682-944-9353,sent,0.0569941249980932
UN401I,Gavin Anderson,MIA,BWI,2110.16,Cancelled,2025-08-02,2025-08-03,barnold@example.net,4118280598,sent,0.07670423621679773
LZ204B,Christine Wright,SFO,MDW,777.4,Confirmed,2025-08-02,2025-08-03,vdickson@example.org,622.460.2563,sent,0.06564779007270634
PH160G,Julia Torres,ATL,DTW,1863.45,Cancelled,2025-08-02,2025-08-03,kellerraymond@example.com,645-486-8501,sent,0.033539782687368735
DT940N,Richard Graham,LAS,BWI,1767.18,Cancelled,2025-08-02,2025-08-03,jonathanfletcher@example.org,783.856.1595x14846,sent,0.047803873707462696
GN482V,Megan Orr,HNL,IAD,1973.6,Cancelled,2025-08-02,2025-08-02,torresjason@example.net,+1-757-377-3872x148,sent,0.07010902712368852
OE831Z,Joseph Hansen,DTW,AUS,1837.1,Cancelled,2025-08-02,2025-08-03,usalazar@example.net,(387)627-7434x87347,sent,0.04905754977716813
KR345C,David Benson,PHX,AUS,2299.19,Checked-in,2025-08-02,2025-08-03,drivera@example.com,2367690967,sent,0.08723502651526326
RX466X,Lindsey Walker,DEN,LAS,1900.72,Completed,2025-08-02,2025-08-03,priceelizabeth@example.com,001-427-929-8069x9016,sent,0.06958135277513637
