PNR,Passenger,Origin,Destination,Fare,Status,BookingDate,TravelDate,Email,Phone,status,processing_time
EG654Y,Brandon Davis,DEN,IAD,390.86,Completed,2025-08-02,2025-08-03,blairamanda@example.com,584-695-9310,sent,0.06749872664790782
MI131O,Holly Wood,IAH,JFK,220.02,Cancelled,2025-08-02,2025-08-03,lynchgeorge@example.net,527.264.8350,sent,0.0973054660611574
ZV122N,Janice Carlson,MIA,PHL,803.75,Confirmed,2025-08-02,2025-08-03,frazierdanny@example.net,001-645-514-6270x48281,sent,0.07060652118853818
RY252Q,Linda Burns,ATL,TPA,1143.14,Pending,2025-08-02,2025-08-03,john39@example.org,671-882-2782,sent,0.050161425110828245
WJ383M,Marie Kim DDS,IAD,EWR,390.19,Checked-in,2025-08-02,2025-08-03,andrew83@example.net,501.603.1051,sent,0.08477079567100636
EX738S,Dana Kennedy,PDX,CLT,1568.76,Confirmed,2025-08-02,2025-08-03,agomez@example.com,001-801-406-5133x3872,sent,0.0907520925168439
CO473Z,Krista Williams,FLL,DFW,2436.82,Checked-in,2025-08-02,2025-08-03,housemelinda@example.org,(977)436-0260x64746,sent,0.02264746774598243
BS343X,Nicole Brown,MCO,PDX,1627.3,Pending,2025-08-02,2025-08-03,brianromero@example.org,291-336-1939,sent,0.03815291186609041
QK699I,Mike Allen,MDW,ORD,257.69,Cancelled,2025-08-02,2025-08-03,stephen10@example.com,+1-791-618-3842x513,sent,0.08230110111262856
WJ278T,Dr. Kendra Contreras,ORD,STL,697.06,Confirmed,2025-08-02,2025-08-03,mcmillandennis@example.org,682-944-9353,sent,0.0647249074528444
UN401I,Gavin Anderson,MIA,BWI,2110.16,Cancelled,2025-08-02,2025-08-03,barnold@example.net,4118280598,sent,0.07214729962167853
LZ204B,Christine Wright,SFO,MDW,777.4,Confirmed,2025-08-02,2025-08-03,vdickson@example.org,622.460.2563,sent,0.06418006076858418
PH160G,Julia Torres,ATL,DTW,1863.45,Cancelled,2025-08-02,2025-08-03,kellerraymond@example.com,645-486-8501,sent,0.0828504031556681
DT940N,Richard Graham,LAS,BWI,1767.18,Cancelled,2025-08-02,2025-08-03,jonathanfletcher@example.org,783.856.1595x14846,sent,0.025124673787245345
GN482V,Megan Orr,HNL,IAD,1973.6,Cancelled,2025-08-02,2025-08-02,torresjason@example.net,+1-757-377-3872x148,sent,0.08324324866148634
OE831Z,Joseph Hansen,DTW,AUS,1837.1,Cancelled,2025-08-02,2025-08-03,usalazar@example.net,(387)627-7434x87347,sent,0.054358842674249716
KR345C,David Benson,PHX,AUS,2299.19,Checked-in,2025-08-02,2025-08-03,drivera@example.com,2367690967,sent,0.0723577747206984
RX466X,Lindsey Walker,DEN,LAS,1900.72,Completed,2025-08-02,2025-08-03,priceelizabeth@example.com,001-427-929-8069x9016,sent,0.0313550238275734
MK204G,George Hobbs,DTW,IAH,2259.88,Checked-in,2025-08-02,2025-08-03,fking@example.com,5802531003,sent,0.035763179242611375
EP923V,Travis Marshall,DEN,FLL,1309.76,Confirmed,2025-08-02,2025-08-02,stricklandfrank@example.com,590-349-6631,sent,0.09681677624413641
OH314Y,Leonard Gray,PHX,IAH,1550.34,Checked-in,2025-08-02,2025-08-03,tonykelly@example.com,949-948-0831x36783,sent,0.038659973396764455
JH701M,Elizabeth Perkins,FLL,STL,2364.71,Confirmed,2025-08-02,2025-08-03,jbarajas@example.com,(574)544-3135x182,sent,0.05032322986719594
YQ749T,Brian Lee,FLL,SAN,777.04,Pending,2025-08-02,2025-08-03,ericksondavid@example.org,9849271094,sent,0.03740980453925628
BI752P,Austin Vasquez,IAH,ATL,1216.25,Pending,2025-08-02,2025-08-02,edwardhart@example.com,831-986-9993,sent,0.04459340761503837
NJ749S,Lisa Singh,IAD,ATL,1343.05,Confirmed,2025-08-02,2025-08-02,josephmiller@example.org,(681)220-6797,sent,0.053574060071885615
WO344C,Tammy French,MCO,PDX,1651.53,Completed,2025-08-02,2025-08-03,ronaldstephens@example.net,,sent,0.04668355811741482
WM174I,Katherine Miller,CLT,SAN,529.64,Completed,2025-08-02,2025-08-02,cassandra01@example.org,,sent,0.07064840348686349
NK175K,Shannon Rivera,PHL,EWR,1298.22,Confirmed,2025-08-02,2025-08-02,jcervantes@example.org,215.545.1680x876,sent,0.05050787609503355
YP859U,Anthony Adams,STL,HNL,2045.92,Cancelled,2025-08-02,2025-08-03,omartinez@example.net,324.980.8613,sent,0.048089069475425406
WJ127Q,Jennifer Olson,STL,DTW,2375.33,Confirmed,2025-08-02,2025-08-03,patrickweeks@example.net,001-921-446-5840x4499,sent,0.05339916803151859
OA718X,Seth Booker,DEN,MDW,1266.91,Completed,2025-08-02,2025-08-03,matthew61@example.com,+1-386-357-8091x34316,sent,0.05951811581228608
AB724K,Elaine Brooks,MSP,STL,1575.5,Cancelled,2025-08-02,2025-08-02,georgemiller@example.com,+1-637-492-3747x407,sent,0.02599295384084438
SJ175U,Melissa Bryant,IAD,TPA,1771.19,Pending,2025-08-02,2025-08-03,yrodriguez@example.net,(694)540-6409x097,sent,0.030851298120527924
UG953T,Perry Saunders,BWI,LGA,1027.54,Completed,2025-08-02,2025-08-03,bergerdebbie@example.com,709.652.1456x232,sent,0.0729134636740451
DV965H,Manuel Hahn,SEA,PHL,667.51,Confirmed,2025-08-02,2025-08-03,reidsteven@example.net,861-920-0471x1382,sent,0.07625147199162104
SX586X,Jason Garcia,JFK,LAS,308.39,Confirmed,2025-08-02,2025-08-02,antonio53@example.com,935.315.8506x431,sent,0.06869776339620097
BZ390K,Cameron Cunningham,ORD,FLL,709.31,Checked-in,2025-08-02,2025-08-03,brendali@example.org,729-504-2284x21020,sent,0.034526306756237614
FI950B,Jason Wilson,DEN,IAD,2348.46,Completed,2025-08-02,2025-08-03,william17@example.net,890.884.7007,sent,0.028877435429226148
CC177K,Ana Hill,SEA,HNL,1261.49,Checked-in,2025-08-02,2025-08-03,oscar98@example.com,789.961.1836x736,sent,0.08796356628633425
KN661K,Jacqueline Hernandez,DFW,MDW,1162.97,Checked-in,2025-08-02,2025-08-03,daviscolin@example.net,(228)609-8851x656,sent,0.08268980136403564
DS945Q,Matthew Walker,PDX,TPA,277.3,Confirmed,2025-08-02,2025-08-03,danny49@example.org,(289)498-0940x24455,sent,0.0987902706420545
CE296X,Amanda Reese,TPA,EWR,2031.39,Confirmed,2025-08-02,2025-08-03,eric45@example.net,+1-910-822-9014x767,sent,0.03820575820946505
DL438N,Michael Watkins,SFO,DTW,1204.24,Checked-in,2025-08-02,2025-08-03,randallgreene@example.org,943.824.4510,sent,0.08093085520215766
RW226H,Sandra Drake,MIA,SEA,2205.04,Confirmed,2025-08-02,2025-08-03,grahamsteve@example.org,796-396-6416x05297,sent,0.030482614164628545
NS613M,Jennifer Collins,PDX,STL,1443.26,Confirmed,2025-08-02,2025-08-03,charlesschultz@example.net,435.952.3124x32921,sent,0.07816506251959159
OV799S,Victoria Morris,FLL,PDX,184.68,Confirmed,2025-08-02,2025-08-02,cjones@example.net,649-305-8147x7005,sent,0.026135473007441325
QM199O,Tiffany Stevenson,PDX,SEA,540.83,Checked-in,2025-08-02,2025-08-03,marcalvarez@example.org,9719518203,sent,0.030358421269559156
FL889L,Jasmine Schroeder,PDX,PHX,2270.74,Cancelled,2025-08-02,2025-08-03,cameron18@example.net,(344)692-5192x5462,sent,0.09664052739829167
EV865W,Nancy Jennings,PHX,LAS,2327.32,Checked-in,2025-08-02,2025-08-03,bromero@example.com,223-757-3322x1418,sent,0.061818680345111926
ME929F,Michael Weber,MDW,IAD,2489.24,Completed,2025-08-02,2025-08-03,jenkinserica@example.org,994.973.8347x359,sent,0.02452091068897004
